ticker,bank_name,total_mentions
MS,Morgan Stanley,1985
SF,Stifel Financial Corp,1610
AXP,American Express Co,1004
COF,Capital One Financial Corp,820
NTRS,Northern Trust Corp,749
SOFI,"SoFi Technologies, Inc.",709
CFG,Citizens Financial Group Inc/Ri,607
BAC,Bank Of America Corp,589
PNC,"Pnc Financial Services Group, Inc.",520
C,Citigroup Inc,513
JPM,Jpmorgan Chase & Co,500
FITB,Fifth Third Bancorp,400
GS,Goldman Sachs Group Inc,383
FLG,"Flagstar Financial, Inc.",367
BK,Bank of New York Mellon Corp,319
RF,Regions Financial Corp,309
ASB,Associated Banc-Corp,284
SSB,SouthState Bank Corp,274
SCHW,Schwab Charles Corp,267
ALLY,Ally Financial Inc.,264
STT,State Street Corp,234
KEY,Keycorp,231
WBS,Webster Financial Corp,227
TFC,Truist Financial Corp,226
FNB,Fnb Corp,224
WTFC,Wintrust Financial Corp,219
CMA,Comerica Inc,217
SYF,Synchrony Financial,169
MTB,M&T Bank Corp,163
RJF,Raymond James Financial Inc,154
WAL,Western Alliance Bancorporation,152
SNV,Synovus Financial Corp,146
VLY,Valley National Bancorp,145
HBAN,Huntington Bancshares Inc,138
DFS,Discover Financial Services,135
FCNCA,First Citizens Bancshares Inc,131
ZION,"Zions Bancorporation, National Association",126
ONB,Old National Bancorp,122
COLB,"Columbia Banking System, Inc.",118
BOKF,Bok Financial Corp,104
WFC,Wells Fargo & Company/Mn,101
FHN,First Horizon Corp,98
USB,Us Bancorp \De\,89
BPOP,"Popular, Inc.",74
CFR,"Cullen/Frost Bankers, Inc.",63
PB,Prosperity Bancshares Inc,60
EWBC,East West Bancorp Inc,53
PNFP,Pinnacle Financial Partners Inc,52
BKU,"BankUnited, Inc.",24
UMBF,Umb Financial Corp,19
