ticker,bank_name,ai_strategy,customer_facing_ai,governance,investment_spend,measurable_outcomes,operations_efficiency,risk_controls,use_cases,vendors_partnerships,sec_filing,transcript,total_mentions,governance_strategy_mentions,execution_mentions,governance_strategy_share,execution_share,ASSET,mentions_per_billion_matched_assets
MS,Morgan Stanley,39.0,264.0,158.0,277.0,271.0,252.0,193.0,265.0,266.0,149.0,1836.0,1985.0,390.0,1595.0,0.1964735516372796,0.8035264483627204,,
SF,Stifel Financial Corp,105.0,213.0,141.0,209.0,209.0,208.0,116.0,203.0,206.0,64.0,1546.0,1610.0,362.0,1248.0,0.2248447204968944,0.7751552795031056,924891.0,1740745.6662460766
AXP,American Express Co,34.0,127.0,125.0,126.0,126.0,126.0,88.0,126.0,126.0,710.0,294.0,1004.0,247.0,757.0,0.24601593625498008,0.7539840637450199,211275193.0,4752.096002108492
COF,Capital One Financial Corp,2.0,109.0,100.0,111.0,105.0,97.0,96.0,102.0,98.0,673.0,147.0,820.0,198.0,622.0,0.24146341463414633,0.7585365853658537,,
NTRS,Northern Trust Corp,0.0,95.0,98.0,98.0,107.0,110.0,56.0,89.0,96.0,72.0,677.0,749.0,154.0,595.0,0.205607476635514,0.794392523364486,,
SOFI,"SoFi Technologies, Inc.",20.0,82.0,51.0,104.0,111.0,106.0,40.0,98.0,97.0,393.0,316.0,709.0,111.0,598.0,0.15655853314527504,0.843441466854725,46568135.0,15225.003105664422
CFG,Citizens Financial Group Inc/Ri,9.0,89.0,59.0,85.0,78.0,80.0,52.0,77.0,78.0,144.0,463.0,607.0,120.0,487.0,0.19769357495881384,0.8023064250411862,350183.0,1733379.404482799
BAC,Bank Of America Corp,0.0,91.0,64.0,92.0,86.0,80.0,49.0,95.0,32.0,346.0,243.0,589.0,113.0,476.0,0.19185059422750425,0.8081494057724957,,
PNC,"Pnc Financial Services Group, Inc.",12.0,65.0,62.0,81.0,81.0,73.0,35.0,62.0,49.0,192.0,328.0,520.0,109.0,411.0,0.20961538461538462,0.7903846153846154,,
C,Citigroup Inc,0.0,64.0,65.0,62.0,65.0,68.0,64.0,72.0,53.0,383.0,130.0,513.0,129.0,384.0,0.25146198830409355,0.7485380116959064,,
JPM,Jpmorgan Chase & Co,0.0,69.0,62.0,72.0,71.0,63.0,49.0,57.0,57.0,314.0,186.0,500.0,111.0,389.0,0.222,0.778,,
FITB,Fifth Third Bancorp,22.0,56.0,23.0,56.0,55.0,60.0,18.0,55.0,55.0,90.0,310.0,400.0,63.0,337.0,0.1575,0.8425,,
GS,Goldman Sachs Group Inc,0.0,33.0,40.0,45.0,74.0,68.0,42.0,55.0,26.0,274.0,109.0,383.0,82.0,301.0,0.21409921671018275,0.7859007832898173,644997000.0,593.801211478503
FLG,"Flagstar Financial, Inc.",23.0,45.0,44.0,50.0,50.0,49.0,29.0,34.0,43.0,13.0,354.0,367.0,96.0,271.0,0.2615803814713896,0.7384196185286104,199589.0,1838778.6902083782
BK,Bank of New York Mellon Corp,22.0,16.0,26.0,63.0,65.0,51.0,11.0,33.0,32.0,49.0,270.0,319.0,59.0,260.0,0.18495297805642633,0.8150470219435737,380997000.0,837.2769339391124
RF,Regions Financial Corp,1.0,43.0,31.0,40.0,43.0,53.0,30.0,37.0,31.0,198.0,111.0,309.0,62.0,247.0,0.20064724919093851,0.7993527508090615,,
ASB,Associated Banc-Corp,0.0,37.0,37.0,37.0,37.0,37.0,31.0,31.0,37.0,216.0,68.0,284.0,68.0,216.0,0.23943661971830985,0.7605633802816901,,
SSB,SouthState Bank Corp,15.0,29.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,272.0,2.0,274.0,81.0,193.0,0.2956204379562044,0.7043795620437956,67179734.0,4078.6109691949655
SCHW,Schwab Charles Corp,36.0,38.0,37.0,40.0,39.0,37.0,1.0,2.0,37.0,15.0,252.0,267.0,74.0,193.0,0.27715355805243447,0.7228464419475655,82820.0,3223858.9712629803
ALLY,Ally Financial Inc.,0.0,37.0,25.0,36.0,40.0,32.0,25.0,33.0,36.0,200.0,64.0,264.0,50.0,214.0,0.1893939393939394,0.8106060606060606,184648000.0,1429.7474112906718
STT,State Street Corp,0.0,12.0,29.0,35.0,36.0,35.0,26.0,39.0,22.0,210.0,24.0,234.0,55.0,179.0,0.23504273504273504,0.7649572649572649,360681000.0,648.7727382368354
KEY,Keycorp,0.0,31.0,27.0,41.0,26.0,29.0,25.0,27.0,25.0,103.0,128.0,231.0,52.0,179.0,0.22510822510822512,0.7748917748917749,,
WBS,Webster Financial Corp,0.0,30.0,34.0,32.0,33.0,23.0,15.0,30.0,30.0,124.0,103.0,227.0,49.0,178.0,0.21585903083700442,0.7841409691629956,83985466.0,2702.848609543942
TFC,Truist Financial Corp,0.0,29.0,25.0,34.0,35.0,31.0,16.0,30.0,26.0,81.0,145.0,226.0,41.0,185.0,0.18141592920353983,0.8185840707964602,539519000.0,418.8916423703336
FNB,Fnb Corp,0.0,26.0,25.0,38.0,42.0,38.0,13.0,22.0,20.0,50.0,174.0,224.0,38.0,186.0,0.16964285714285715,0.8303571428571429,305598.0,732989.0902427371
WTFC,Wintrust Financial Corp,0.0,32.0,21.0,32.0,32.0,32.0,19.0,19.0,32.0,8.0,211.0,219.0,40.0,179.0,0.182648401826484,0.817351598173516,3454109.0,63402.74727867592
