ticker,bank_name,source_type,form_type,period_year,period_quarter,period_label,expected_doc_count,observed_doc_count,status,status_detail,storage_kind,local_refs,source_urls,manual_search_hint,notes
ALLY,Ally Financial Inc.,transcript,transcript,2024,1,2024_Q1,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ALLY_2024_Q1.txt,,Ally Financial Inc. earnings call transcript 2024 Q1,
ALLY,Ally Financial Inc.,transcript,transcript,2024,2,2024_Q2,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ALLY_2024_Q2.txt,,Ally Financial Inc. earnings call transcript 2024 Q2,
ALLY,Ally Financial Inc.,transcript,transcript,2024,3,2024_Q3,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ALLY_2024_Q3.txt,,Ally Financial Inc. earnings call transcript 2024 Q3,
ALLY,Ally Financial Inc.,transcript,transcript,2024,4,2024_Q4,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ALLY_2024_Q4.txt,,Ally Financial Inc. earnings call transcript 2024 Q4,
ALLY,Ally Financial Inc.,transcript,transcript,2025,1,2025_Q1,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ALLY_2025_Q1.txt,,Ally Financial Inc. earnings call transcript 2025 Q1,
ALLY,Ally Financial Inc.,transcript,transcript,2025,2,2025_Q2,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ALLY_2025_Q2.txt,,Ally Financial Inc. earnings call transcript 2025 Q2,
ALLY,Ally Financial Inc.,transcript,transcript,2025,3,2025_Q3,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ALLY_2025_Q3.txt,,Ally Financial Inc. earnings call transcript 2025 Q3,
ALLY,Ally Financial Inc.,transcript,transcript,2025,4,2025_Q4,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ALLY_2025_Q4.txt,,Ally Financial Inc. earnings call transcript 2025 Q4,
ALLY,Ally Financial Inc.,call_report,call_report,2024,1,2024_Q1,1,0,missing,call report exists via FDIC API but not stored locally,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:57803,Ally Financial Inc. call report 2024 Q1,"Matched FDIC institution 'Ally Bank' / ALLY FINANCIAL INC (CERT 57803, confidence 1.0)"
ALLY,Ally Financial Inc.,call_report,call_report,2024,2,2024_Q2,1,0,missing,call report exists via FDIC API but not stored locally,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:57803,Ally Financial Inc. call report 2024 Q2,"Matched FDIC institution 'Ally Bank' / ALLY FINANCIAL INC (CERT 57803, confidence 1.0)"
ALLY,Ally Financial Inc.,call_report,call_report,2024,3,2024_Q3,1,0,missing,call report exists via FDIC API but not stored locally,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:57803,Ally Financial Inc. call report 2024 Q3,"Matched FDIC institution 'Ally Bank' / ALLY FINANCIAL INC (CERT 57803, confidence 1.0)"
ALLY,Ally Financial Inc.,call_report,call_report,2024,4,2024_Q4,1,0,missing,call report exists via FDIC API but not stored locally,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:57803,Ally Financial Inc. call report 2024 Q4,"Matched FDIC institution 'Ally Bank' / ALLY FINANCIAL INC (CERT 57803, confidence 1.0)"
ALLY,Ally Financial Inc.,call_report,call_report,2025,1,2025_Q1,1,0,missing,call report exists via FDIC API but not stored locally,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:57803,Ally Financial Inc. call report 2025 Q1,"Matched FDIC institution 'Ally Bank' / ALLY FINANCIAL INC (CERT 57803, confidence 1.0)"
ALLY,Ally Financial Inc.,call_report,call_report,2025,2,2025_Q2,1,0,missing,call report exists via FDIC API but not stored locally,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:57803,Ally Financial Inc. call report 2025 Q2,"Matched FDIC institution 'Ally Bank' / ALLY FINANCIAL INC (CERT 57803, confidence 1.0)"
ALLY,Ally Financial Inc.,call_report,call_report,2025,3,2025_Q3,1,0,missing,call report exists via FDIC API but not stored locally,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:57803,Ally Financial Inc. call report 2025 Q3,"Matched FDIC institution 'Ally Bank' / ALLY FINANCIAL INC (CERT 57803, confidence 1.0)"
ALLY,Ally Financial Inc.,call_report,call_report,2025,4,2025_Q4,1,0,missing,call report exists via FDIC API but not stored locally,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:57803,Ally Financial Inc. call report 2025 Q4,"Matched FDIC institution 'Ally Bank' / ALLY FINANCIAL INC (CERT 57803, confidence 1.0)"
ALLY,Ally Financial Inc.,sec_filing,10-K,2024,4,2024_Q4,0,1,not_filed_by_cutoff,filing missing locally,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/10-K/ALLY_10-K_2024_Q4/primary-document.html,,ALLY 10-K 2024,
ALLY,Ally Financial Inc.,sec_filing,10-K,2025,4,2025_Q4,0,0,not_filed_by_cutoff,filing missing locally,local_file,,,ALLY 10-K 2025,
