Ticker,Year,Quarter,Maturity_Score,Exploring_Pct,Committing_Pct,Deploying_Pct,Scaling_Pct
ALLY,2023,4,68.75,25.0,0.0,50.0,25.0
ALLY,2024,1,75.0,0.0,0.0,100.0,0.0
ALLY,2024,2,75.0,0.0,0.0,100.0,0.0
ALLY,2024,3,75.0,0.0,0.0,100.0,0.0
ALLY,2024,4,75.0,12.5,0.0,62.5,25.0
ALLY,2025,1,75.0,0.0,0.0,100.0,0.0
ALLY,2025,2,58.33,16.7,50.0,16.7,16.7
ALLY,2025,3,67.5,20.0,0.0,70.0,10.0
ALLY,2025,4,37.5,50.0,50.0,0.0,0.0
ASB,2024,2,25.0,100.0,0.0,0.0,0.0
ASB,2024,4,51.79,42.9,14.3,35.7,7.1
ASB,2025,2,25.0,100.0,0.0,0.0,0.0
ASB,2025,4,57.14,33.3,9.5,52.4,4.8
AXP,2023,2,100.0,0.0,0.0,0.0,100.0
AXP,2023,3,100.0,0.0,0.0,0.0,100.0
AXP,2024,1,100.0,0.0,0.0,0.0,100.0
AXP,2024,2,100.0,0.0,0.0,0.0,100.0
AXP,2024,3,100.0,0.0,0.0,0.0,100.0
AXP,2024,4,78.0,24.0,0.0,16.0,60.0
AXP,2025,1,48.72,61.5,2.6,15.4,20.5
AXP,2025,2,75.0,28.6,0.0,14.3,57.1
AXP,2025,3,80.0,20.0,0.0,20.0,60.0
AXP,2025,4,69.08,31.6,5.3,18.4,44.7
AXP,2026,1,91.67,0.0,0.0,33.3,66.7
BAC,2023,4,60.0,30.0,20.0,30.0,20.0
BAC,2024,1,50.0,0.0,100.0,0.0,0.0
BAC,2024,2,56.25,37.5,12.5,37.5,12.5
BAC,2024,3,56.25,25.0,50.0,0.0,25.0
BAC,2024,4,65.91,22.7,9.1,50.0,18.2
BAC,2025,1,48.53,52.9,5.9,35.3,5.9
BAC,2025,2,69.64,21.4,7.1,42.9,28.6
BAC,2025,3,48.44,56.2,0.0,37.5,6.2
BAC,2025,4,50.0,53.3,0.0,40.0,6.7
BK,2024,1,67.86,14.3,14.3,57.1,14.3
BK,2024,2,70.45,9.1,18.2,54.5,18.2
BK,2024,3,61.11,33.3,0.0,55.6,11.1
BK,2024,4,67.86,28.6,0.0,42.9,28.6
BK,2025,1,58.33,33.3,0.0,66.7,0.0
BK,2025,2,53.12,37.5,18.8,37.5,6.2
BK,2025,3,53.85,38.5,15.4,38.5,7.7
BK,2025,4,71.15,23.1,0.0,46.2,30.8
BKU,2024,4,55.0,60.0,0.0,0.0,40.0
BKU,2025,4,75.0,0.0,0.0,100.0,0.0
BOKF,2024,1,50.0,50.0,0.0,50.0,0.0
BOKF,2024,2,50.0,50.0,0.0,50.0,0.0
BOKF,2024,3,50.0,50.0,0.0,50.0,0.0
BOKF,2024,4,55.0,40.0,0.0,60.0,0.0
BOKF,2025,3,50.0,50.0,0.0,50.0,0.0
BOKF,2025,4,25.0,100.0,0.0,0.0,0.0
BPOP,2023,4,50.0,50.0,0.0,50.0,0.0
BPOP,2024,1,75.0,0.0,0.0,100.0,0.0
BPOP,2024,2,25.0,100.0,0.0,0.0,0.0
BPOP,2024,4,50.0,50.0,0.0,50.0,0.0
BPOP,2025,2,25.0,100.0,0.0,0.0,0.0
C,2023,2,75.0,0.0,0.0,100.0,0.0
C,2023,3,75.0,0.0,0.0,100.0,0.0
C,2024,1,25.0,100.0,0.0,0.0,0.0
C,2024,2,61.11,22.2,11.1,66.7,0.0
C,2024,3,75.0,0.0,0.0,100.0,0.0
C,2024,4,71.43,21.4,0.0,50.0,28.6
C,2025,1,60.71,42.9,0.0,28.6,28.6
C,2025,2,63.33,33.3,6.7,33.3,26.7
C,2025,3,81.25,0.0,12.5,50.0,37.5
C,2025,4,64.0,28.0,12.0,36.0,24.0
CFG,2024,1,62.5,33.3,16.7,16.7,33.3
CFG,2024,2,75.0,0.0,0.0,100.0,0.0
CFG,2024,3,64.29,28.6,14.3,28.6,28.6
CFG,2024,4,54.69,50.0,6.2,18.8,25.0
CFG,2025,1,65.74,37.0,0.0,25.9,37.0
CFG,2025,2,63.33,33.3,6.7,33.3,26.7
CFG,2025,3,53.12,50.0,0.0,37.5,12.5
CFG,2025,4,58.06,35.5,16.1,29.0,19.4
CFR,2023,4,25.0,100.0,0.0,0.0,0.0
CFR,2024,4,41.67,66.7,0.0,33.3,0.0
CFR,2025,4,55.0,40.0,0.0,60.0,0.0
CMA,2024,1,75.0,0.0,0.0,100.0,0.0
CMA,2024,2,25.0,100.0,0.0,0.0,0.0
CMA,2024,3,25.0,100.0,0.0,0.0,0.0
CMA,2024,4,57.81,50.0,0.0,18.8,31.2
CMA,2025,1,45.0,70.0,0.0,10.0,20.0
CMA,2025,3,65.0,40.0,10.0,0.0,50.0
COF,2024,1,75.0,0.0,0.0,100.0,0.0
COF,2024,2,75.0,14.3,14.3,28.6,42.9
COF,2024,3,75.0,0.0,0.0,100.0,0.0
COF,2024,4,69.74,21.1,5.3,47.4,26.3
COF,2025,1,60.0,30.0,10.0,50.0,10.0
COF,2025,2,56.9,41.4,10.3,27.6,20.7
COF,2025,3,53.57,28.6,42.9,14.3,14.3
COF,2025,4,62.2,29.3,12.2,39.0,19.5
COLB,2023,4,25.0,100.0,0.0,0.0,0.0
COLB,2024,2,65.62,25.0,0.0,62.5,12.5
COLB,2024,3,30.0,80.0,20.0,0.0,0.0
COLB,2024,4,34.38,75.0,12.5,12.5,0.0
