ticker,bank_name,cert,ffiec_institution_name,period_year,period_quarter,period_label,commercial_loan_90_plus_dpd_numerator,commercial_loan_90_plus_dpd_denominator,commercial_loan_90_plus_dpd_rate,nondepository_requested_numerator,nondepository_requested_denominator,nondepository_requested_rate
ALLY,Ally Financial Inc.,57803,ALLY BANK,2024,1,2024_Q1,166000.0,33417000.0,0.004967531495945178,,4364000.0,
ALLY,Ally Financial Inc.,57803,ALLY BANK,2024,2,2024_Q2,178000.0,34465000.0,0.005164659799796896,,4027000.0,
ALLY,Ally Financial Inc.,57803,ALLY BANK,2024,3,2024_Q3,231000.0,32890000.0,0.0070234113712374585,,4327000.0,
ALLY,Ally Financial Inc.,57803,ALLY BANK,2024,4,2024_Q4,189000.0,31891000.0,0.005926436925778432,0.0,3587000.0,0.0
ALLY,Ally Financial Inc.,57803,ALLY BANK,2025,1,2025_Q1,249000.0,30573000.0,0.008144441173584536,0.0,4084000.0,0.0
ALLY,Ally Financial Inc.,57803,ALLY BANK,2025,2,2025_Q2,209000.0,29880000.0,0.006994645247657296,0.0,4218000.0,0.0
ALLY,Ally Financial Inc.,57803,ALLY BANK,2025,3,2025_Q3,206000.0,30462000.0,0.006762523800144442,0.0,4336000.0,0.0
ALLY,Ally Financial Inc.,57803,ALLY BANK,2025,4,2025_Q4,213000.0,32157000.0,0.006623752215691762,0.0,5141000.0,0.0
ASB,Associated Banc-Corp,5296,"ASSOCIATED BANK, NATIONAL ASSOCIATION",2024,1,2024_Q1,425.0,7045036.0,6.032616440852822e-05,,2156787.0,
ASB,Associated Banc-Corp,5296,"ASSOCIATED BANK, NATIONAL ASSOCIATION",2024,2,2024_Q2,384.0,7020335.0,5.4698244456995286e-05,,2234511.0,
ASB,Associated Banc-Corp,5296,"ASSOCIATED BANK, NATIONAL ASSOCIATION",2024,3,2024_Q3,474.0,7141537.0,6.63722669223726e-05,,2315501.0,
ASB,Associated Banc-Corp,5296,"ASSOCIATED BANK, NATIONAL ASSOCIATION",2024,4,2024_Q4,642.0,7460519.0,8.605299443644604e-05,0.0,2310995.0,0.0
ASB,Associated Banc-Corp,5296,"ASSOCIATED BANK, NATIONAL ASSOCIATION",2025,1,2025_Q1,515.0,7747492.0,6.64731244640201e-05,0.0,2321931.0,0.0
ASB,Associated Banc-Corp,5296,"ASSOCIATED BANK, NATIONAL ASSOCIATION",2025,2,2025_Q2,558.0,8060582.0,6.922577054609704e-05,0.0,2377040.0,0.0
ASB,Associated Banc-Corp,5296,"ASSOCIATED BANK, NATIONAL ASSOCIATION",2025,3,2025_Q3,395.0,7808034.0,5.058891905439961e-05,0.0,2925734.0,0.0
ASB,Associated Banc-Corp,5296,"ASSOCIATED BANK, NATIONAL ASSOCIATION",2025,4,2025_Q4,370.0,8202112.0,4.511033255824841e-05,0.0,2729459.0,0.0
AXP,American Express Co,27471,AMERICAN EXPRESS NATIONAL BANK,2024,1,2024_Q1,293111.0,42624429.0,0.006876596516987946,,944373.0,
AXP,American Express Co,27471,AMERICAN EXPRESS NATIONAL BANK,2024,2,2024_Q2,278298.0,43606995.0,0.0063819577570066455,,1154357.0,
AXP,American Express Co,27471,AMERICAN EXPRESS NATIONAL BANK,2024,3,2024_Q3,289382.0,43874628.0,0.006595657061753322,,1250826.0,
AXP,American Express Co,27471,AMERICAN EXPRESS NATIONAL BANK,2024,4,2024_Q4,319906.0,44047013.0,0.007262830739510078,3663.0,1313072.0,0.0027896413905711187
AXP,American Express Co,27471,AMERICAN EXPRESS NATIONAL BANK,2025,1,2025_Q1,321713.0,45768629.0,0.007029115947519424,3799.0,1347373.0,0.0028195607303990802
AXP,American Express Co,27471,AMERICAN EXPRESS NATIONAL BANK,2025,2,2025_Q2,335797.0,46058679.0,0.007290634627189373,3890.0,1356610.0,0.002867441637611399
AXP,American Express Co,27471,AMERICAN EXPRESS NATIONAL BANK,2025,3,2025_Q3,322877.0,46742797.0,0.006907524168910988,4769.0,1451279.0,0.003286066979540116
AXP,American Express Co,27471,AMERICAN EXPRESS NATIONAL BANK,2025,4,2025_Q4,344979.0,46997287.0,0.0073404024364214894,5851.0,1540337.0,0.003798519414907257
BAC,Bank Of America Corp,3510,"BANK OF AMERICA, NATIONAL ASSOCIATION",2024,1,2024_Q1,1149000.0,327109000.0,0.003512590604355123,,70128000.0,
BAC,Bank Of America Corp,3510,"BANK OF AMERICA, NATIONAL ASSOCIATION",2024,2,2024_Q2,1392000.0,327219000.0,0.004254031703537997,,73863000.0,
