ticker,bank_name,manual_search_priority_score,missing_docs,partial_docs,not_public_docs,ai_current_rating,private_credit_current_rating,risk_current_period_label,manual_search_hint
CFG,Citizens Financial Group Inc/Ri,86.95744680851064,14,1,0,4,5,2025_Q4,CFG 10-K 2024 | CFG 10-K 2025 | CFG 10-Q 2024 | CFG 10-Q 2025 | CFG 8-K 2024 Q1 | CFG 8-K 2024 Q2 | CFG 8-K 2024 Q3 | CFG 8-K 2024 Q4 | CFG 8-K 2025 Q1 | CFG 8-K 2025 Q2 | CFG 8-K 2025 Q3 | CFG 8-K 2025 Q4 | CFG DEF 14A 2024 | CFG DEF 14A 2025 | Citizens Financial Group Inc/Ri call report 2024 Q1 | Citizens Financial Group Inc/Ri call report 2024 Q2 | Citizens Financial Group Inc/Ri call report 2024 Q3 | Citizens Financial Group Inc/Ri call report 2024 Q4 | Citizens Financial Group Inc/Ri call report 2025 Q1 | Citizens Financial Group Inc/Ri call report 2025 Q2 | Citizens Financial Group Inc/Ri call report 2025 Q3 | Citizens Financial Group Inc/Ri call report 2025 Q4 | Citizens Financial Group Inc/Ri earnings call transcript 2024 Q1 | Citizens Financial Group Inc/Ri earnings call transcrip
RJF,Raymond James Financial Inc,84.0,16,2,0,3,4,2025_Q4,RJF 10-K 2024 | RJF 10-K 2025 | RJF 10-Q 2024 | RJF 10-Q 2025 | RJF 8-K 2024 Q1 | RJF 8-K 2024 Q2 | RJF 8-K 2024 Q3 | RJF 8-K 2024 Q4 | RJF 8-K 2025 Q1 | RJF 8-K 2025 Q2 | RJF 8-K 2025 Q3 | RJF 8-K 2025 Q4 | RJF DEF 14A 2024 | RJF DEF 14A 2025 | Raymond James Financial Inc call report 2024 Q1 | Raymond James Financial Inc call report 2024 Q2 | Raymond James Financial Inc call report 2024 Q3 | Raymond James Financial Inc call report 2024 Q4 | Raymond James Financial Inc call report 2025 Q1 | Raymond James Financial Inc call report 2025 Q2 | Raymond James Financial Inc call report 2025 Q3 | Raymond James Financial Inc call report 2025 Q4 | Raymond James Financial Inc earnings call transcript 2024 Q1 | Raymond James Financial Inc earnings call transcript 2024 Q2 | Raymond James Financial Inc 
SOFI,"SoFi Technologies, Inc.",78.45744680851064,15,0,0,5,2,2025_Q4,"SOFI 10-K 2024 | SOFI 10-K 2025 | SOFI 10-Q 2024 | SOFI 10-Q 2025 | SOFI 8-K 2024 Q1 | SOFI 8-K 2024 Q2 | SOFI 8-K 2024 Q3 | SOFI 8-K 2024 Q4 | SOFI 8-K 2025 Q1 | SOFI 8-K 2025 Q2 | SOFI 8-K 2025 Q3 | SOFI 8-K 2025 Q4 | SOFI DEF 14A 2024 | SOFI DEF 14A 2025 | SoFi Technologies, Inc. call report 2024 Q1 | SoFi Technologies, Inc. call report 2024 Q2 | SoFi Technologies, Inc. call report 2024 Q3 | SoFi Technologies, Inc. call report 2024 Q4 | SoFi Technologies, Inc. call report 2025 Q1 | SoFi Technologies, Inc. call report 2025 Q2 | SoFi Technologies, Inc. call report 2025 Q3 | SoFi Technologies, Inc. call report 2025 Q4 | SoFi Technologies, Inc. earnings call transcript 2024 Q1 | SoFi Technologies, Inc. earnings call transcript 2024 Q2 | SoFi Technologies, Inc. earnings call transcript 2024 "
SSB,SouthState Bank Corp,78.45744680851064,14,1,0,4,3,2025_Q4,SSB 10-K 2024 | SSB 10-K 2025 | SSB 10-Q 2024 | SSB 10-Q 2025 | SSB 8-K 2024 Q1 | SSB 8-K 2024 Q2 | SSB 8-K 2024 Q3 | SSB 8-K 2024 Q4 | SSB 8-K 2025 Q1 | SSB 8-K 2025 Q2 | SSB 8-K 2025 Q3 | SSB 8-K 2025 Q4 | SSB DEF 14A 2024 | SSB DEF 14A 2025 | SouthState Bank Corp call report 2024 Q1 | SouthState Bank Corp call report 2024 Q2 | SouthState Bank Corp call report 2024 Q3 | SouthState Bank Corp call report 2024 Q4 | SouthState Bank Corp call report 2025 Q1 | SouthState Bank Corp call report 2025 Q2 | SouthState Bank Corp call report 2025 Q3 | SouthState Bank Corp call report 2025 Q4 | SouthState Bank Corp earnings call transcript 2024 Q1 | SouthState Bank Corp earnings call transcript 2024 Q2 | SouthState Bank Corp earnings call transcript 2024 Q3 | SouthState Bank Corp earnings call transcr
WAL,Western Alliance Bancorporation,77.37234042553192,15,1,0,3,3,2025_Q4,WAL 10-K 2024 | WAL 10-K 2025 | WAL 10-Q 2024 | WAL 10-Q 2025 | WAL 8-K 2024 Q1 | WAL 8-K 2024 Q2 | WAL 8-K 2024 Q3 | WAL 8-K 2024 Q4 | WAL 8-K 2025 Q1 | WAL 8-K 2025 Q2 | WAL 8-K 2025 Q3 | WAL 8-K 2025 Q4 | WAL DEF 14A 2024 | WAL DEF 14A 2025 | Western Alliance Bancorporation call report 2024 Q1 | Western Alliance Bancorporation call report 2024 Q2 | Western Alliance Bancorporation call report 2024 Q3 | Western Alliance Bancorporation call report 2024 Q4 | Western Alliance Bancorporation call report 2025 Q1 | Western Alliance Bancorporation call report 2025 Q2 | Western Alliance Bancorporation call report 2025 Q3 | Western Alliance Bancorporation call report 2025 Q4 | Western Alliance Bancorporation earnings call transcript 2024 Q1 | Western Alliance Bancorporation earnings call transcrip
STT,State Street Corp,76.9468085106383,13,1,0,4,5,2025_Q4,STT 10-K 2024 | STT 10-K 2025 | STT 10-Q 2024 | STT 10-Q 2025 | STT 8-K 2024 Q1 | STT 8-K 2024 Q2 | STT 8-K 2024 Q3 | STT 8-K 2024 Q4 | STT 8-K 2025 Q1 | STT 8-K 2025 Q2 | STT 8-K 2025 Q3 | STT 8-K 2025 Q4 | STT DEF 14A 2024 | STT DEF 14A 2025 | State Street Corp call report 2024 Q1 | State Street Corp call report 2024 Q2 | State Street Corp call report 2024 Q3 | State Street Corp call report 2024 Q4 | State Street Corp call report 2025 Q1 | State Street Corp call report 2025 Q2 | State Street Corp call report 2025 Q3 | State Street Corp call report 2025 Q4 | State Street Corp earnings call transcript 2024 Q1 | State Street Corp earnings call transcript 2024 Q2 | State Street Corp earnings call transcript 2024 Q3 | State Street Corp earnings call transcript 2024 Q4 | State Street Corp earn
AXP,American Express Co,73.87234042553192,15,1,0,5,1,2025_Q4,AXP 10-K 2024 | AXP 10-K 2025 | AXP 10-Q 2024 | AXP 10-Q 2025 | AXP 8-K 2024 Q1 | AXP 8-K 2024 Q2 | AXP 8-K 2024 Q3 | AXP 8-K 2024 Q4 | AXP 8-K 2025 Q1 | AXP 8-K 2025 Q2 | AXP 8-K 2025 Q3 | AXP 8-K 2025 Q4 | AXP DEF 14A 2024 | AXP DEF 14A 2025 | American Express Co call report 2024 Q1 | American Express Co call report 2024 Q2 | American Express Co call report 2024 Q3 | American Express Co call report 2024 Q4 | American Express Co call report 2025 Q1 | American Express Co call report 2025 Q2 | American Express Co call report 2025 Q3 | American Express Co call report 2025 Q4 | American Express Co earnings call transcript 2024 Q1 | American Express Co earnings call transcript 2024 Q2 | American Express Co earnings call transcript 2024 Q3 | American Express Co earnings call transcript 2024 Q4 
ONB,Old National Bancorp,67.87234042553192,15,1,0,4,1,2025_Q4,ONB 10-K 2024 | ONB 10-K 2025 | ONB 10-Q 2024 | ONB 10-Q 2025 | ONB 8-K 2024 Q1 | ONB 8-K 2024 Q2 | ONB 8-K 2024 Q3 | ONB 8-K 2024 Q4 | ONB 8-K 2025 Q1 | ONB 8-K 2025 Q2 | ONB 8-K 2025 Q3 | ONB 8-K 2025 Q4 | ONB DEF 14A 2024 | ONB DEF 14A 2025 | Old National Bancorp call report 2024 Q1 | Old National Bancorp call report 2024 Q2 | Old National Bancorp call report 2024 Q3 | Old National Bancorp call report 2024 Q4 | Old National Bancorp call report 2025 Q1 | Old National Bancorp call report 2025 Q2 | Old National Bancorp call report 2025 Q3 | Old National Bancorp call report 2025 Q4 | Old National Bancorp earnings call transcript 2024 Q1 | Old National Bancorp earnings call transcript 2024 Q2 | Old National Bancorp earnings call transcript 2024 Q3 | Old National Bancorp earnings call transcr
WBS,Webster Financial Corp,67.45744680851064,14,1,0,2,4,2025_Q4,WBS 10-K 2024 | WBS 10-K 2025 | WBS 10-Q 2024 | WBS 10-Q 2025 | WBS 8-K 2024 Q1 | WBS 8-K 2024 Q2 | WBS 8-K 2024 Q3 | WBS 8-K 2024 Q4 | WBS 8-K 2025 Q1 | WBS 8-K 2025 Q2 | WBS 8-K 2025 Q3 | WBS 8-K 2025 Q4 | WBS DEF 14A 2024 | WBS DEF 14A 2025 | Webster Financial Corp call report 2024 Q1 | Webster Financial Corp call report 2024 Q2 | Webster Financial Corp call report 2024 Q3 | Webster Financial Corp call report 2024 Q4 | Webster Financial Corp call report 2025 Q1 | Webster Financial Corp call report 2025 Q2 | Webster Financial Corp call report 2025 Q3 | Webster Financial Corp call report 2025 Q4 | Webster Financial Corp earnings call transcript 2024 Q1 | Webster Financial Corp earnings call transcript 2024 Q2 | Webster Financial Corp earnings call transcript 2024 Q3 | Webster Financial Co
KEY,Keycorp,65.37234042553192,7,1,8,4,4,2025_Q4,KEY 10-K 2024 | KEY 10-K 2025 | KEY 10-Q 2024 | KEY 10-Q 2025 | KEY 8-K 2024 Q1 | KEY 8-K 2024 Q2 | KEY 8-K 2024 Q3 | KEY 8-K 2024 Q4 | KEY 8-K 2025 Q1 | KEY 8-K 2025 Q2 | KEY 8-K 2025 Q3 | KEY 8-K 2025 Q4 | KEY DEF 14A 2024 | KEY DEF 14A 2025 | Keycorp call report 2024 Q1 | Keycorp call report 2024 Q2 | Keycorp call report 2024 Q3 | Keycorp call report 2024 Q4 | Keycorp call report 2025 Q1 | Keycorp call report 2025 Q2 | Keycorp call report 2025 Q3 | Keycorp call report 2025 Q4 | Keycorp earnings call transcript 2024 Q1 | Keycorp earnings call transcript 2024 Q2 | Keycorp earnings call transcript 2024 Q3 | Keycorp earnings call transcript 2024 Q4 | Keycorp earnings call transcript 2025 Q1 | Keycorp earnings call transcript 2025 Q2 | Keycorp earnings call transcript 2025 Q3 | Keycorp earni
