ticker,bank_name,period_year,period_quarter,period_label,weighted_hits,matched_chunks,matched_docs,family_breadth,source_breadth,asset_based_lending,direct_lending,fund_finance,private_capital,private_credit,private_debt,sponsor_finance,quarterly_score,quarterly_rating
ALLY,Ally Financial Inc.,2024,1,2024_Q1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.84090909090909,2
ALLY,Ally Financial Inc.,2024,2,2024_Q2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.854166666666664,2
ALLY,Ally Financial Inc.,2024,3,2024_Q3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.700000000000003,2
ALLY,Ally Financial Inc.,2024,4,2024_Q4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.279411764705884,2
ALLY,Ally Financial Inc.,2025,1,2025_Q1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.5,2
ALLY,Ally Financial Inc.,2025,2,2025_Q2,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,62.23214285714286,4
ALLY,Ally Financial Inc.,2025,3,2025_Q3,5.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,63.660714285714285,4
ALLY,Ally Financial Inc.,2025,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ASB,Associated Banc-Corp,2024,1,2024_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ASB,Associated Banc-Corp,2024,2,2024_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ASB,Associated Banc-Corp,2024,3,2024_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ASB,Associated Banc-Corp,2024,4,2024_Q4,0.6,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,19.19117647058824,1
ASB,Associated Banc-Corp,2025,1,2025_Q1,0.6,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,27.125,2
ASB,Associated Banc-Corp,2025,2,2025_Q2,0.6,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,18.571428571428573,1
ASB,Associated Banc-Corp,2025,3,2025_Q3,0.6,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,15.982142857142858,1
