ticker,bank_name,workstream,cluster,rating,current_score
ALLY,Ally Financial Inc.,ai_activity,AI Active,3,56.46958698372967
ASB,Associated Banc-Corp,ai_activity,AI Active,4,69.51539424280351
AXP,American Express Co,ai_activity,AI Leaders,5,83.02215269086358
BAC,Bank Of America Corp,ai_activity,AI Active,4,70.91489361702128
BK,Bank of New York Mellon Corp,ai_activity,AI Active,4,68.24167709637047
BKU,"BankUnited, Inc.",ai_activity,AI Watchlist,1,9.571026282853566
BOKF,Bok Financial Corp,ai_activity,AI Watchlist,2,27.56020025031289
BPOP,"Popular, Inc.",ai_activity,AI Watchlist,1,10.423404255319149
C,Citigroup Inc,ai_activity,AI Leaders,5,89.90387984981228
CFG,Citizens Financial Group Inc/Ri,ai_activity,AI Leaders,4,79.39249061326659
CFR,"Cullen/Frost Bankers, Inc.",ai_activity,AI Watchlist,2,32.561326658322905
CMA,Comerica Inc,ai_activity,AI Watchlist,2,30.03617021276596
COF,Capital One Financial Corp,ai_activity,AI Leaders,5,94.97872340425532
COLB,"Columbia Banking System, Inc.",ai_activity,AI Watchlist,1,12.087234042553192
DFS,Discover Financial Services,ai_activity,AI Watchlist,1,15.440425531914894
EWBC,East West Bancorp Inc,ai_activity,AI Watchlist,1,12.536983729662078
FCNCA,First Citizens Bancshares Inc,ai_activity,AI Watchlist,2,26.202127659574465
FHN,First Horizon Corp,ai_activity,AI Watchlist,1,8.170212765957448
FITB,Fifth Third Bancorp,ai_activity,AI Active,3,50.11201501877348
FLG,"Flagstar Financial, Inc.",ai_activity,AI Watchlist,1,12.074468085106384
FNB,Fnb Corp,ai_activity,AI Active,3,50.8168961201502
GS,Goldman Sachs Group Inc,ai_activity,AI Active,4,60.86608260325407
HBAN,Huntington Bancshares Inc,ai_activity,AI Active,3,57.82803504380476
JPM,Jpmorgan Chase & Co,ai_activity,AI Leaders,4,79.46495619524406
KEY,Keycorp,ai_activity,AI Active,4,71.34530663329161
MS,Morgan Stanley,ai_activity,AI Leaders,4,79.06145181476846
MTB,M&T Bank Corp,ai_activity,AI Active,3,53.06545682102628
NTRS,Northern Trust Corp,ai_activity,AI Active,3,42.02340425531914
ONB,Old National Bancorp,ai_activity,AI Active,4,60.10713391739675
PB,Prosperity Bancshares Inc,ai_activity,AI Watchlist,2,21.644680851063832
PNC,"Pnc Financial Services Group, Inc.",ai_activity,AI Leaders,5,83.14831038798498
PNFP,Pinnacle Financial Partners Inc,ai_activity,AI Watchlist,1,9.72127659574468
RF,Regions Financial Corp,ai_activity,AI Active,3,50.74893617021276
RJF,Raymond James Financial Inc,ai_activity,AI Watchlist,3,43.97709637046308
SCHW,Schwab Charles Corp,ai_activity,AI Watchlist,1,3.8000000000000003
SF,Stifel Financial Corp,ai_activity,AI Active,3,47.99693366708386
SNV,Synovus Financial Corp,ai_activity,AI Watchlist,2,27.70425531914894
SOFI,"SoFi Technologies, Inc.",ai_activity,AI Leaders,5,93.38648310387984
SSB,SouthState Bank Corp,ai_activity,AI Active,4,76.64480600750939
STT,State Street Corp,ai_activity,AI Active,4,70.24030037546935
SYF,Synchrony Financial,ai_activity,AI Active,4,61.840675844806015
TFC,Truist Financial Corp,ai_activity,AI Watchlist,2,34.169524405506884
UMBF,Umb Financial Corp,ai_activity,AI Watchlist,1,3.8000000000000003
USB,Us Bancorp \De\,ai_activity,AI Active,3,43.680162703379224
VLY,Valley National Bancorp,ai_activity,AI Watchlist,2,30.58410513141427
WAL,Western Alliance Bancorporation,ai_activity,AI Active,3,49.02215269086358
WBS,Webster Financial Corp,ai_activity,AI Watchlist,2,25.753191489361704
WFC,Wells Fargo & Company/Mn,ai_activity,AI Active,2,29.545869837296618
WTFC,Wintrust Financial Corp,ai_activity,AI Watchlist,1,3.8000000000000003
ZION,"Zions Bancorporation, National Association",ai_activity,AI Active,3,42.49812265331664
ALLY,Ally Financial Inc.,private_credit,Private Credit Active,3,45.38205128205128
ASB,Associated Banc-Corp,private_credit,Private Credit Active,2,29.808974358974357
AXP,American Express Co,private_credit,Private Credit Limited,1,4.2
BAC,Bank Of America Corp,private_credit,Private Credit Limited,1,11.315384615384616
BK,Bank of New York Mellon Corp,private_credit,Private Credit Limited,1,4.2
BKU,"BankUnited, Inc.",private_credit,Private Credit Active,4,69.85641025641026
BOKF,Bok Financial Corp,private_credit,Private Credit Active,2,31.126923076923077
BPOP,"Popular, Inc.",private_credit,Private Credit Limited,1,4.2
C,Citigroup Inc,private_credit,Private Credit Active,4,64.52051282051282
CFG,Citizens Financial Group Inc/Ri,private_credit,Private Credit Leaders,5,86.25128205128205
CFR,"Cullen/Frost Bankers, Inc.",private_credit,Private Credit Active,3,49.47564102564103
CMA,Comerica Inc,private_credit,Private Credit Limited,1,4.2
COF,Capital One Financial Corp,private_credit,Private Credit Limited,2,23.62307692307692
COLB,"Columbia Banking System, Inc.",private_credit,Private Credit Limited,1,4.2
DFS,Discover Financial Services,private_credit,Private Credit Limited,1,4.2
EWBC,East West Bancorp Inc,private_credit,Private Credit Active,2,39.289743589743594
FCNCA,First Citizens Bancshares Inc,private_credit,Private Credit Leaders,4,69.15
FHN,First Horizon Corp,private_credit,Private Credit Active,2,27.046153846153846
