bank_name,ticker,ai_current_period_label,ai_latest_value,ai_trailing_4q_value,ai_avg_breadth,ai_momentum,ai_avg_execution_share,ai_current_score,ai_current_rating,private_credit_current_period_label,private_credit_latest_value,private_credit_trailing_4q_value,private_credit_avg_breadth,private_credit_momentum,private_credit_avg_source_breadth,private_credit_current_score,private_credit_current_rating,risk_current_period_label,risk_current_score,risk_current_rating,ROA,ROE,NIMY,equity_assets_ratio,NCLNLSR,commercial_loan_90_plus_dpd_rate,nondepository_requested_rate,ASSET
Ally Financial Inc.,ALLY,2025_Q4,19.0,112.0,1.5,11.0,0.8763888888888889,56.46958698372967,3,2025_Q4,0.0,9.0,1.25,-1.0,0.75,45.38205128205128,3,2025_Q4,41.54336734693877,3,0.9095211252690231,11.26,4.026058203314417,8.273580000866513,0.9948768558698461,0.006623752215691762,0.0,184648000.0
Associated Banc-Corp,ASB,2025_Q4,162.0,170.0,0.75,162.0,0.3773148148148148,69.51539424280351,4,2025_Q4,0.6,2.4,1.0,0.0,1.0,29.808974358974357,2,2025_Q4,58.182397959183675,3,1.0995049724052457,10.44,3.0079536789278785,10.633598258781818,0.3347215448990084,4.511033255824841e-05,0.0,45145405.0
American Express Co,AXP,2025_Q4,284.0,691.0,1.5,-28.0,0.7523847631241998,83.02215269086358,5,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q4,64.96811224489795,4,3.8855330674183493,43.03,8.30406780384196,8.998006689786813,0.7079580976095605,0.0073404024364214894,0.003798519414907257,211275193.0
Bank Of America Corp,BAC,2025_Q4,55.0,254.0,1.75,-14.0,0.8918744203023553,70.91489361702128,4,2025_Q4,0.0,1.0,0.25,0.0,0.25,11.315384615384616,1,2025_Q4,44.538690476190474,3,1.1544462063028051,12.24,2.503407554197315,9.338890020300946,0.7055495719332618,0.005343297949838693,0.0002737702292954807,2636823000.0
Bank of New York Mellon Corp,BK,2025_Q4,57.0,154.0,1.75,24.0,0.8238683830789093,68.24167709637047,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q4,63.718112244897966,4,1.3133776820461704,16.35,1.5257191354298676,7.827358220668404,0.3218356918238994,0.0,0.0,380997000.0
"BankUnited, Inc.",BKU,2025_Q4,2.0,2.0,0.25,2.0,0.25,9.571026282853566,1,2025_Q4,4.9,8.8,1.0,4.9,0.5,69.85641025641026,4,2025_Q4,29.075255102040817,2,0.8932944932981026,9.84,3.0386499343597095,9.041321834143453,2.1917624695725295,0.0,0.019941843824761003,35027511.0
Bok Financial Corp,BOKF,2025_Q4,22.0,26.0,0.5,22.0,0.4318181818181818,27.56020025031289,2,2025_Q4,0.9,2.8,0.75,0.9,0.75,31.126923076923077,2,2025_Q4,47.34906462585034,3,1.0971746627883445,10.32,2.936068337635024,10.567748572782723,0.5871092831395458,0.0,0.006956067704178572,52005221.0
"Popular, Inc.",BPOP,2025_Q4,0.0,16.0,0.25,0.0,0.171875,10.423404255319149,1,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q4,40.27423469387755,3,1.1738390077281933,19.88,3.8143539791128798,6.321319813941037,2.495640802092415,0.04469678666344527,0.0,59766000.0
Citigroup Inc,C,2025_Q4,173.0,324.0,2.0,149.0,0.7755575991125124,89.90387984981228,5,2025_Q4,3.0,9.0,0.75,3.0,0.75,64.52051282051282,4,2025_Q4,29.787414965986393,2,0.8458257679165101,8.67,3.0807013850028064,9.612641006819732,0.7718097901864128,0.007900820567538044,0.0005244858769488457,1836436000.0
Citizens Financial Group Inc/Ri,CFG,2025_Q4,142.0,406.0,1.5,-9.0,0.8357568878749564,79.39249061326659,4,2025_Q4,3.0,25.6,2.0,3.0,1.25,86.25128205128205,5,2025_Q4,32.16624149659864,2,0.871318329941014,7.45,3.1233218086126695,11.882440819812,1.4006107931776026,0.008822034590042025,7.871486365273701e-06,225863637.0
