ticker,bank_name,period_year,period_quarter,period_label,score,rating,workstream
ALLY,Ally Financial Inc.,2024,1,2024_Q1,27.291666666666664,2,ai_activity
ALLY,Ally Financial Inc.,2024,2,2024_Q2,23.797256097560975,2,ai_activity
ALLY,Ally Financial Inc.,2024,3,2024_Q3,33.05555555555555,2,ai_activity
ALLY,Ally Financial Inc.,2024,4,2024_Q4,53.8,3,ai_activity
ALLY,Ally Financial Inc.,2025,1,2025_Q1,27.685185185185183,2,ai_activity
ALLY,Ally Financial Inc.,2025,2,2025_Q2,72.79761904761905,4,ai_activity
ALLY,Ally Financial Inc.,2025,3,2025_Q3,74.11764705882354,4,ai_activity
ALLY,Ally Financial Inc.,2025,4,2025_Q4,25.147058823529413,2,ai_activity
ASB,Associated Banc-Corp,2024,1,2024_Q1,0.0,1,ai_activity
ASB,Associated Banc-Corp,2024,2,2024_Q2,23.797256097560975,2,ai_activity
ASB,Associated Banc-Corp,2024,3,2024_Q3,0.0,1,ai_activity
ASB,Associated Banc-Corp,2024,4,2024_Q4,82.0,5,ai_activity
ASB,Associated Banc-Corp,2025,1,2025_Q1,0.0,1,ai_activity
ASB,Associated Banc-Corp,2025,2,2025_Q2,20.714285714285715,2,ai_activity
ASB,Associated Banc-Corp,2025,3,2025_Q3,0.0,1,ai_activity
ASB,Associated Banc-Corp,2025,4,2025_Q4,88.38235294117648,5,ai_activity
AXP,American Express Co,2024,1,2024_Q1,56.25000000000001,3,ai_activity
AXP,American Express Co,2024,2,2024_Q2,53.015243902439025,3,ai_activity
AXP,American Express Co,2024,3,2024_Q3,62.68518518518518,4,ai_activity
AXP,American Express Co,2024,4,2024_Q4,81.6,5,ai_activity
AXP,American Express Co,2025,1,2025_Q1,97.77777777777777,5,ai_activity
AXP,American Express Co,2025,2,2025_Q2,68.33333333333333,4,ai_activity
AXP,American Express Co,2025,3,2025_Q3,56.25,3,ai_activity
AXP,American Express Co,2025,4,2025_Q4,93.52941176470588,5,ai_activity
BAC,Bank Of America Corp,2024,1,2024_Q1,27.291666666666664,2,ai_activity
BAC,Bank Of America Corp,2024,2,2024_Q2,81.07621951219512,5,ai_activity
BAC,Bank Of America Corp,2024,3,2024_Q3,75.92592592592594,4,ai_activity
BAC,Bank Of America Corp,2024,4,2024_Q4,80.0,4,ai_activity
BAC,Bank Of America Corp,2025,1,2025_Q1,85.37037037037038,5,ai_activity
BAC,Bank Of America Corp,2025,2,2025_Q2,82.85714285714286,5,ai_activity
BAC,Bank Of America Corp,2025,3,2025_Q3,80.73529411764704,5,ai_activity
BAC,Bank Of America Corp,2025,4,2025_Q4,46.76470588235294,3,ai_activity
BK,Bank of New York Mellon Corp,2024,1,2024_Q1,52.91666666666667,3,ai_activity
BK,Bank of New York Mellon Corp,2024,2,2024_Q2,66.10060975609755,4,ai_activity
BK,Bank of New York Mellon Corp,2024,3,2024_Q3,87.77777777777777,5,ai_activity
BK,Bank of New York Mellon Corp,2024,4,2024_Q4,62.10000000000001,4,ai_activity
BK,Bank of New York Mellon Corp,2025,1,2025_Q1,68.14814814814815,4,ai_activity
BK,Bank of New York Mellon Corp,2025,2,2025_Q2,70.0,4,ai_activity
BK,Bank of New York Mellon Corp,2025,3,2025_Q3,56.76470588235294,3,ai_activity
BK,Bank of New York Mellon Corp,2025,4,2025_Q4,48.23529411764706,3,ai_activity
BKU,"BankUnited, Inc.",2024,1,2024_Q1,0.0,1,ai_activity
BKU,"BankUnited, Inc.",2024,2,2024_Q2,0.0,1,ai_activity
BKU,"BankUnited, Inc.",2024,3,2024_Q3,0.0,1,ai_activity
BKU,"BankUnited, Inc.",2024,4,2024_Q4,20.35,2,ai_activity
BKU,"BankUnited, Inc.",2025,1,2025_Q1,0.0,1,ai_activity
BKU,"BankUnited, Inc.",2025,2,2025_Q2,0.0,1,ai_activity
BKU,"BankUnited, Inc.",2025,3,2025_Q3,0.0,1,ai_activity
BKU,"BankUnited, Inc.",2025,4,2025_Q4,9.411764705882353,1,ai_activity
BOKF,Bok Financial Corp,2024,1,2024_Q1,43.54166666666667,3,ai_activity
BOKF,Bok Financial Corp,2024,2,2024_Q2,37.519817073170735,2,ai_activity
BOKF,Bok Financial Corp,2024,3,2024_Q3,48.148148148148145,3,ai_activity
BOKF,Bok Financial Corp,2024,4,2024_Q4,44.2,3,ai_activity
BOKF,Bok Financial Corp,2025,1,2025_Q1,0.0,1,ai_activity
BOKF,Bok Financial Corp,2025,2,2025_Q2,0.0,1,ai_activity
BOKF,Bok Financial Corp,2025,3,2025_Q3,17.573529411764707,1,ai_activity
BOKF,Bok Financial Corp,2025,4,2025_Q4,26.61764705882353,2,ai_activity
BPOP,"Popular, Inc.",2024,1,2024_Q1,39.47916666666667,2,ai_activity
BPOP,"Popular, Inc.",2024,2,2024_Q2,43.400914634146346,3,ai_activity
BPOP,"Popular, Inc.",2024,3,2024_Q3,0.0,1,ai_activity
BPOP,"Popular, Inc.",2024,4,2024_Q4,14.4,1,ai_activity
BPOP,"Popular, Inc.",2025,1,2025_Q1,0.0,1,ai_activity
BPOP,"Popular, Inc.",2025,2,2025_Q2,36.01190476190476,2,ai_activity
BPOP,"Popular, Inc.",2025,3,2025_Q3,0.0,1,ai_activity
BPOP,"Popular, Inc.",2025,4,2025_Q4,0.0,1,ai_activity
C,Citigroup Inc,2024,1,2024_Q1,27.291666666666664,2,ai_activity
C,Citigroup Inc,2024,2,2024_Q2,85.97713414634147,5,ai_activity
C,Citigroup Inc,2024,3,2024_Q3,33.05555555555555,2,ai_activity
C,Citigroup Inc,2024,4,2024_Q4,80.25,5,ai_activity
C,Citigroup Inc,2025,1,2025_Q1,59.25925925925926,3,ai_activity
C,Citigroup Inc,2025,2,2025_Q2,85.5952380952381,5,ai_activity
C,Citigroup Inc,2025,3,2025_Q3,76.1029411764706,4,ai_activity
C,Citigroup Inc,2025,4,2025_Q4,90.73529411764706,5,ai_activity
CFG,Citizens Financial Group Inc/Ri,2024,1,2024_Q1,62.916666666666664,4,ai_activity
CFG,Citizens Financial Group Inc/Ri,2024,2,2024_Q2,23.797256097560975,2,ai_activity
CFG,Citizens Financial Group Inc/Ri,2024,3,2024_Q3,70.37037037037037,4,ai_activity
CFG,Citizens Financial Group Inc/Ri,2024,4,2024_Q4,84.25,5,ai_activity
CFG,Citizens Financial Group Inc/Ri,2025,1,2025_Q1,81.85185185185185,5,ai_activity
CFG,Citizens Financial Group Inc/Ri,2025,2,2025_Q2,89.58333333333334,5,ai_activity
CFG,Citizens Financial Group Inc/Ri,2025,3,2025_Q3,51.17647058823529,3,ai_activity
CFG,Citizens Financial Group Inc/Ri,2025,4,2025_Q4,82.20588235294117,5,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2024,1,2024_Q1,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2024,2,2024_Q2,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2024,3,2024_Q3,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2024,4,2024_Q4,18.6,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2025,1,2025_Q1,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2025,2,2025_Q2,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2025,3,2025_Q3,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2025,4,2025_Q4,41.1764705882353,3,ai_activity
CMA,Comerica Inc,2024,1,2024_Q1,47.60416666666667,3,ai_activity
CMA,Comerica Inc,2024,2,2024_Q2,33.41158536585366,2,ai_activity
CMA,Comerica Inc,2024,3,2024_Q3,43.98148148148148,3,ai_activity
CMA,Comerica Inc,2024,4,2024_Q4,71.10000000000001,4,ai_activity
CMA,Comerica Inc,2025,1,2025_Q1,69.72222222222223,4,ai_activity
CMA,Comerica Inc,2025,2,2025_Q2,0.0,1,ai_activity
CMA,Comerica Inc,2025,3,2025_Q3,68.01470588235294,4,ai_activity
CMA,Comerica Inc,2025,4,2025_Q4,0.0,1,ai_activity
COF,Capital One Financial Corp,2024,1,2024_Q1,27.291666666666664,2,ai_activity
COF,Capital One Financial Corp,2024,2,2024_Q2,78.69817073170732,4,ai_activity
COF,Capital One Financial Corp,2024,3,2024_Q3,33.05555555555555,2,ai_activity
COF,Capital One Financial Corp,2024,4,2024_Q4,78.4,4,ai_activity
